Dataset,MAE1,RMSE1,MAE2,RMSE2,COR2,MAE3,RMSE3
FUBrain,0.1669,0.2284,0.2452,0.3213,-0.9699,0.1696,0.2268
RenClear,0.0608,0.0821,0.0902,0.117,-0.9192,0.0609,0.0822
FreeSolv,0.1884,0.2977,0.2921,0.4251,-0.9966,0.1904,0.2996
MicroClear,0.1013,0.1339,0.1482,0.1904,-0.8543,0.1013,0.1337
HemoTox,0.1362,0.2034,0.2047,0.2872,-0.9274,0.1361,0.2013
HepClear,0.0855,0.1229,0.1307,0.1754,-0.9452,0.0862,0.1228
Caco2,0.1062,0.1442,0.1576,0.2053,-0.9802,0.1065,0.1444
Sol,0.1811,0.2533,0.2707,0.361,-0.9919,0.1814,0.2536
VDss,0.104,0.1425,0.1544,0.202,-0.9698,0.1038,0.1423
HalfLife,0.1358,0.1828,0.1989,0.2594,-0.9143,0.1358,0.1828
